contribution_id,tristan_construct,nearest_prior_art,shared_structure,material_difference_candidate,novelty_status,evidence_required
NOV-001,CapabilityCell,"software architecture components; workflow tool interfaces",typed component/interface abstraction,"capability contract explicitly joins transformation preconditions evidence uncertainty resources and memory",HOLD,"architecture/interface literature review; discriminating examples"
NOV-002,Capability IR,"MLIR; CWL; service/interface contracts",intermediate abstraction over multiple implementations,"provider-independent task semantics coupled to evidence uncertainty and dynamic provider routing",HOLD,"systematic IR/workflow comparison; EXP-002"
NOV-003,Executable Hyperedge,"workflow DAGs; executable runtime megamodels; graph transformation",relations participate in execution,"multi-participant hyperedge as typed program with evidence/falsification contract",HOLD,"formal semantics; workflow/runtime-model comparison; benchmark"
NOV-004,Proof-Carrying Repository,"Proof-Carrying Code; W3C PROV-O; RO-Crate",artifact carries machine-readable support/provenance,"repository-level multi-claim evidence passport with uncertainty limits security and semantic/scientific gates",HOLD,"formal trust semantics; mapping to PROV-O/RO-Crate; negative controls"
NOV-005,Mycelial Repo Fabric,"monorepo/polyrepo systems; software architecture; workflow systems",large-scale components dependencies orchestration,"dynamic capability graph plus executable hyperedges plus evidence memory and task-conditioned coupling",HOLD,"EXP-001; architecture literature court"
NOV-006,Intent-to-RepoGraph Compiler,"CWL/workflow generation; orchestration planners",intent becomes executable workflow structure,"semantic capability demand resolved to providers under evidence uncertainty cost risk and authority constraints",HOLD,"workflow/planning prior art; controlled planning benchmark"
NOV-007,Theory-to-Repo Compiler,"model-driven engineering; workflow generation; program synthesis",model/specification generates executable artifacts,"scientific theory card compiles to claim proof data simulation benchmark counterexample and reproduction obligations",HOLD,"MDE/program-synthesis review; round-trip case studies"
NOV-008,Repo-to-Theory Compiler,"program analysis; specification mining; model inference",implementation is analyzed to recover higher-level semantics,"reconstructs typed implicit research theory including assumptions claims units evidence and limits",HOLD,"specification-mining literature court; reconstruction benchmarks"
NOV-009,Theory-Code Bidirectional Compiler,"bidirectional transformation; executable runtime models",models linked to executable systems,"claim-by-claim theory-code-evidence round trip with explicit semantic residual",HOLD,"EXP-003 and EXP-007; nearest-neighbor review"
NOV-010,Scientific CI,"CI/build systems; workflow validation; provenance systems",automated checking before promotion,"separates software semantic scientific and OAK gates with baseline controls uncertainty provenance statistics counter-hypothesis and reproducibility obligations",HOLD,"EXP-003; scientific-workflow/reproducibility review"
NOV-011,Mycelial Fixed-Point Test,"reproducible builds; self-describing/runtime-model systems",system reconstructs artifacts from declarative state,"measures ecosystem reconstruction from canonical schemas manifests capability graphs tests and compilers",HOLD,"EXP-006; reproducible-build/self-hosting literature review"
NOV-012,Residual-to-Theory Compiler,"model criticism; hypothesis generation; active experiment design",residuals trigger candidate explanations/tests,"residual -> competing explanations -> discriminating tests integrated with claim/evidence graph",HOLD,"hypothesis-generation/active-learning review; empirical cases"
