claim_id,module,claim,status,test_required,failure_mode,next_route,public_language
ARK-001,ARK-M1,ARK-M1 can serve as a low-power energy and thermal logging bench,FORMALIZED,temperature and voltage/current logger experiment,Overclaiming device performance,Infra-QC,"Low-power experimental bench concept"
ARK-002,ARK-M1,ARK-M1 can route and log energy across battery/supercap/sensor subsystems,FORMALIZED,bench wiring diagram plus safe low-voltage test,Confusing routing/control with new energy generation,Thesis Factory,"Energy-management scaffold"
SP-001,SP-CUBE,SP-CUBE targets visible/NIR control and high IR emissivity as separate spectral regimes,FORMALIZED,spectral material table and passive plate delta-T test,Contradicting Kirchhoff by claiming transparent and black at same wavelength/direction,Patent Thesis,"Spectrally selective thermal concept"
SP-002,SP-CUBE,Fractal or mycelial geometry may increase effective radiative/conductive surface routing,SIMULATED,geometry area estimate plus controlled thermal comparison,Confusing increased surface area with net cooling guarantee,Infra-QC,"Thermal-dissipation geometry hypothesis"
SP-003,SP-CUBE,Passive radiative cooling must be bounded by emissivity area temperature and environment,FORMALIZED,Stefan-Boltzmann and net radiation calculation,Free-energy or vacuum-energy overclaim,OAKShield,"Bounded radiative cooling model"
GAIA-001,GAIA-SAT,Gross climate value at carbon price is a simulated valuation layer not revenue,SIMULATED_GROSS_VALUE,source assumptions and sensitivity table,Confusing gross value with revenue or certified credits,OAKShield,"Scenario value estimate only"
GAIA-002,GAIA-SAT,Methane repair prioritization can be modeled as severity scored evidence workflow,MODEL_RESULT,plume/source attribution and uncertainty scoring,Double counting or weak attribution,Gov-QC,"Review-priority workflow hypothesis"
GAIA-003,GAIA-SAT,MRV evidence must separate source data proxy model and certification gate,FORMALIZED,evidence registry and MRV checklist,Collapsing proxy evidence into certified result,Gov-QC,"MRV evidence-routing scaffold"
OAK-001,OAKShield,Every public claim must carry an OAK status and non-claim boundary,FORMALIZED,claim-style lint or review checklist,Public copy outruns evidence,8e Feu,"Evidence-ranked public statement"
FAIL-001,FailureSynth,Each major failure mode should become a local review-safe issue draft,FORMALIZED,issue draft generator snapshot,Remote mutation before review,Gov-QC,"Local review work item"
INFRA-001,Infra-QC,ARK/SP-CUBE/GAIA modules can be represented as assets sources dependencies and risk cards,FORMALIZED,static demo bundle or GraphML export,Viewer mistaken for operational authority,Infra-QC,"Inspectable demo graph"
PUBLIC-001,8e Feu,Public proof ledger should expose status not hype,FORMALIZED,proof-ledger row with OAK status and non-claims,Marketing language implies certification,8e Feu,"Transparent evidence ledger"
